treatment,loto_median_ape,loto_prediction
BB,0.02285892096318641,107.91161616161617
BBLargeCE,0.19453951016194096,109.139896373057
BBLimS,0.10670050848622273,108.45664983164983
BBMMK,0.023671861907156085,107.88425925925925
BBMoreB,0.14512656444927358,107.28661616161617
BBMoreRounds,0.05641704770171002,106.62487360970677
BBMoreS,0.07835402114009082,108.37457912457913
BBRandom,0.04555138404695924,107.8526936026936
Full,0.06661535459532116,107.8059265442404
FullLargeCE,0.1040337637361609,107.96393146979261
FullLimS,0.10442434549577402,108.23358585858585
FullMoreB,0.14573021047124632,107.21085858585859
FullMoreS,0.16773922015857498,108.59974747474747
Other,0.06854256854256859,107.58333333333333
Same,0.0657367324033991,107.9074074074074
SameMMK,0.04542969846499333,107.86644407345575
